x,y,avg_ms
1,1,587.242
1,2,313.042
1,3,251.324
1,4,230.306
1,5,220.04
1,6,216.965
1,7,219.327
1,8,218.098
1,9,222.508
1,10,224.684
1,11,225.794
1,12,226.437
1,13,227.371
1,14,228.277
1,15,228.787
1,16,229.032
1,17,230.283
1,18,230.508
1,19,232.097
1,20,232.291
1,21,232.584
1,22,232.521
1,23,232.451
1,24,232.234
1,25,232.736
1,26,233.05
1,27,232.907
1,28,232.599
1,29,233.076
1,30,232.826
1,31,233.518
1,32,232.743
2,1,304.871
2,2,164.432
2,3,131.465
2,4,123.473
2,5,118.475
2,6,116.361
2,7,116.902
2,8,116.362
2,9,117.492
2,10,117.871
2,11,118.02
2,12,117.877
2,13,118.094
2,14,118.193
2,15,118.296
2,16,118.216
2,17,125.556
2,18,123.591
2,19,122.362
2,20,121.034
2,21,120.097
2,22,119.351
2,23,119.171
2,24,118.52
2,25,118.925
2,26,118.912
2,27,119.116
2,28,118.839
2,29,119.045
2,30,118.994
2,31,119.062
2,32,119.022
3,1,207.222
3,2,113.264
3,3,89.7428
3,4,85.0345
3,5,82.3897
3,6,81.1043
3,7,81.249
3,8,80.3931
3,9,81.108
3,10,81.0282
3,11,92.2543
3,12,89.4806
3,13,88.2621
3,14,87.3455
3,15,86.2105
3,16,85.0179
3,17,85.4174
3,18,84.9124
3,19,84.7279
3,20,84.5807
3,21,84.4155
3,22,90.5787
3,23,89.392
3,24,88.4483
3,25,87.829
3,26,87.2206
3,27,87.101
3,28,86.8352
3,29,86.8261
3,30,86.8358
3,31,86.6155
3,32,85.6263
4,1,157.202
4,2,86.5735
4,3,68.0536
4,4,64.968
4,5,63.0832
4,6,62.0295
4,7,61.9587
4,8,61.5311
4,9,65.4276
4,10,63.8725
4,11,63.2406
4,12,62.7186
4,13,62.176
4,14,61.9478
4,15,61.7386
4,16,61.6186
4,17,63.6236
4,18,63.0282
4,19,62.4953
4,20,62.0691
4,21,62.0677
4,22,61.8083
4,23,61.9893
4,24,61.6386
4,25,63.032
4,26,62.7111
4,27,62.4617
4,28,62.1416
4,29,61.8321
4,30,61.7825
4,31,61.8151
4,32,61.5836
5,1,127.434
5,2,70.5359
5,3,55.6937
5,4,53.2999
5,5,51.8383
5,6,50.8699
5,7,61.0982
5,8,58.2613
5,9,57.3192
5,10,56.174
5,11,55.1848
5,12,54.4415
5,13,59.6112
5,14,58.1235
5,15,57.5104
5,16,56.7373
5,17,56.0157
5,18,55.7212
5,19,55.5105
5,20,57.7016
5,21,56.8186
5,22,56.418
5,23,55.8695
5,24,55.4166
5,25,55.1377
5,26,57.4493
5,27,57.0002
5,28,56.5236
5,29,56.3558
5,30,55.9232
5,31,55.7663
5,32,55.9208
6,1,106.938
6,2,59.5966
6,3,47.1726
6,4,45.0445
6,5,43.9199
6,6,53.0694
6,7,50.5532
6,8,49.202
6,9,48.365
6,10,47.1605
6,11,51.6825
6,12,50.1825
6,13,49.4684
6,14,48.7192
6,15,47.9498
6,16,47.0989
6,17,48.4556
6,18,47.8333
6,19,47.5151
6,20,46.8898
6,21,46.6129
6,22,48.7448
6,23,48.2568
6,24,47.7288
6,25,47.6321
6,26,47.1762
6,27,49.3129
6,28,48.8234
6,29,48.6197
6,30,48.3594
6,31,48.1077
6,32,47.4828
7,1,92.4877
7,2,51.8622
7,3,41.1045
7,4,39.2783
7,5,47.9702
7,6,45.3218
7,7,44.0812
7,8,42.7688
7,9,41.7961
7,10,44.6897
7,11,42.9496
7,12,42.1145
7,13,41.6126
7,14,44.5814
7,15,43.8651
7,16,43.4219
7,17,42.7759
7,18,42.2176
7,19,43.5559
7,20,42.8825
7,21,42.5518
7,22,42.2507
7,23,44.0422
7,24,43.6932
7,25,43.408
7,26,43.2311
7,27,42.9383
7,28,43.284
7,29,42.8995
7,30,42.4672
7,31,42.3401
7,32,42.3221
8,1,81.538
8,2,46.1952
8,3,35.989
8,4,34.4787
8,5,37.4875
8,6,35.4881
8,7,35.278
8,8,34.6543
8,9,35.1768
8,10,34.4169
8,11,34.0552
8,12,33.6151
8,13,34.9207
8,14,34.4604
8,15,34.3566
8,16,34.0254
8,17,34.3158
8,18,34.1817
8,19,34.096
8,20,33.6535
8,21,34.6246
8,22,34.378
8,23,34.2747
8,24,34.1563
8,25,34.1802
8,26,33.81
8,27,33.8503
8,28,33.6537
8,29,34.4196
8,30,34.2691
8,31,34.3029
8,32,33.9645
9,1,73.3941
9,2,41.8185
9,3,32.7077
9,4,41.1614
9,5,38.1697
9,6,36.6559
9,7,35.5434
9,8,37.3522
9,9,35.2985
9,10,34.6136
9,11,37.4956
9,12,36.3192
9,13,36.0729
9,14,35.4751
9,15,35.9962
9,16,35.4947
9,17,34.9572
9,18,36.6607
9,19,36.3651
9,20,35.9503
9,21,35.6902
9,22,36.113
9,23,35.41
9,24,35.2406
9,25,36.6082
9,26,36.1759
9,27,36.0298
9,28,35.7409
9,29,36.0852
9,30,35.7038
9,31,35.5238
9,32,35.3425
10,1,66.4071
10,2,37.9913
10,3,29.6733
10,4,37.6684
10,5,35.035
10,6,33.4421
10,7,36.1677
10,8,34.5491
10,9,33.4466
10,10,36.0317
10,11,35.1281
10,12,34.1816
10,13,35.6906
10,14,34.8556
10,15,34.3097
10,16,33.7363
10,17,34.1694
10,18,33.4827
10,19,33.1523
10,20,34.1022
10,21,33.4701
10,22,33.2935
10,23,34.6001
10,24,34.1851
10,25,33.8405
10,26,34.5542
10,27,34.2164
10,28,33.8322
10,29,34.6861
10,30,34.3395
10,31,34.1214
10,32,33.9681
11,1,60.7873
11,2,34.8936
11,3,40.6001
11,4,33.9597
11,5,32.1585
11,6,34.3576
11,7,32.1336
11,8,31.1266
11,9,33.257
11,10,31.8661
11,11,31.3861
11,12,32.3265
11,13,31.2895
11,14,30.8833
11,15,32.3197
11,16,31.6316
11,17,31.1708
11,18,31.8138
11,19,31.12
11,20,30.8572
11,21,31.9493
11,22,31.3519
11,23,31.1235
11,24,31.8112
11,25,31.2302
11,26,31.0046
11,27,31.8642
11,28,31.1787
11,29,30.9129
11,30,31.7186
11,31,31.24
11,32,31.0027
12,1,56.2116
12,2,32.0367
12,3,37.7778
12,4,31.3001
12,5,29.542
12,6,31.3512
12,7,28.757
12,8,27.7502
12,9,28.4428
12,10,27.438
12,11,29.2431
12,12,28.426
12,13,27.9982
12,14,29.1897
12,15,28.3347
12,16,27.8731
12,17,27.6722
12,18,27.3375
12,19,28.7055
12,20,28.2531
12,21,27.9979
12,22,28.471
12,23,28.0658
12,24,27.7426
12,25,27.8312
12,26,27.6975
12,27,28.4235
12,28,28.1915
12,29,27.9458
12,30,28.4514
12,31,28.0566
12,32,27.8068
13,1,52.4747
13,2,29.904
13,3,35.4955
13,4,29.3341
13,5,32.3984
13,6,29.9648
13,7,28.438
13,8,29.8634
13,9,28.3478
13,10,29.766
13,11,28.6507
13,12,28.0521
13,13,29.3127
13,14,28.2283
13,15,29.0265
13,16,28.3705
13,17,27.8865
13,18,28.7328
13,19,28.0452
13,20,28.8034
13,21,28.2389
13,22,28.0026
13,23,28.7854
13,24,28.109
13,25,28.7445
13,26,28.3453
13,27,28.1101
13,28,28.542
13,29,28.0877
13,30,29.2947
13,31,28.8539
13,32,28.5221
14,1,48.9695
14,2,27.96
14,3,33.22
14,4,27.4929
14,5,30.1944
14,6,28.0085
14,7,30.1451
14,8,28.2505
14,9,27.4094
14,10,28.1857
14,11,26.7694
14,12,28.2016
14,13,27.5006
14,14,28.437
14,15,27.5231
14,16,27.1426
14,17,27.3444
14,18,26.7391
14,19,27.4487
14,20,26.9497
14,21,28.0411
14,22,27.3802
14,23,28.0766
14,24,27.6907
14,25,27.3169
14,26,27.6958
14,27,27.1827
14,28,28.4622
14,29,27.9859
14,30,28.3832
14,31,28.116
14,32,27.7296
15,1,45.995
15,2,26.4324
15,3,31.2884
15,4,25.9089
15,5,28.5462
15,6,26.2269
15,7,28.4735
15,8,26.5966
15,9,28.0962
15,10,27.0431
15,11,28.2361
15,12,27.214
15,13,28.1373
15,14,27.3118
15,15,28.1753
15,16,27.4327
15,17,26.9451
15,18,27.1852
15,19,26.6181
15,20,27.5661
15,21,26.8234
15,22,27.5235
15,23,26.9041
15,24,27.5855
15,25,27.1175
15,26,28.3892
15,27,27.871
15,28,28.2458
15,29,27.7643
15,30,28.3323
15,31,27.8958
15,32,27.5146
16,1,43.4437
16,2,24.8238
16,3,28.5246
16,4,22.4298
16,5,25.613
16,6,22.1368
16,7,24.804
16,8,22.1217
16,9,23.9929
16,10,21.948
16,11,23.7333
16,12,22.0896
16,13,23.4155
16,14,21.8909
16,15,23.2573
16,16,22.0569
16,17,23.1593
16,18,21.9886
16,19,23.1421
16,20,22.3133
16,21,23.1851
16,22,22.2585
16,23,22.9055
16,24,22.2524
16,25,23.4858
16,26,22.7241
16,27,23.1214
16,28,22.4443
16,29,23.2774
16,30,22.6573
16,31,23.0071
