Immagine 12288x16320
Errore medio sui pixel pre-filtro (Rumore): 40.8496 (MAE su scala 0-255)
Thread: 20 	|| Run: 0 	|| Tempo: 66 ms
Thread: 20 	|| Run: 1 	|| Tempo: 67 ms
Thread: 20 	|| Run: 2 	|| Tempo: 67 ms
Thread: 20 	|| Run: 3 	|| Tempo: 67 ms
Thread: 20 	|| Run: 4 	|| Tempo: 70 ms
Thread: 20 	|| Run: 5 	|| Tempo: 68 ms
Thread: 20 	|| Run: 6 	|| Tempo: 67 ms
Thread: 20 	|| Run: 7 	|| Tempo: 69 ms
Thread: 20 	|| Run: 8 	|| Tempo: 68 ms
Thread: 20 	|| Run: 9 	|| Tempo: 75 ms
Thread: 19 	|| Run: 0 	|| Tempo: 67 ms
Thread: 19 	|| Run: 1 	|| Tempo: 66 ms
Thread: 19 	|| Run: 2 	|| Tempo: 66 ms
Thread: 19 	|| Run: 3 	|| Tempo: 66 ms
Thread: 19 	|| Run: 4 	|| Tempo: 68 ms
Thread: 19 	|| Run: 5 	|| Tempo: 67 ms
Thread: 19 	|| Run: 6 	|| Tempo: 66 ms
Thread: 19 	|| Run: 7 	|| Tempo: 67 ms
Thread: 19 	|| Run: 8 	|| Tempo: 66 ms
Thread: 19 	|| Run: 9 	|| Tempo: 66 ms
Thread: 18 	|| Run: 0 	|| Tempo: 65 ms
Thread: 18 	|| Run: 1 	|| Tempo: 66 ms
Thread: 18 	|| Run: 2 	|| Tempo: 65 ms
Thread: 18 	|| Run: 3 	|| Tempo: 66 ms
Thread: 18 	|| Run: 4 	|| Tempo: 65 ms
Thread: 18 	|| Run: 5 	|| Tempo: 67 ms
Thread: 18 	|| Run: 6 	|| Tempo: 66 ms
Thread: 18 	|| Run: 7 	|| Tempo: 65 ms
Thread: 18 	|| Run: 8 	|| Tempo: 65 ms
Thread: 18 	|| Run: 9 	|| Tempo: 66 ms
Thread: 17 	|| Run: 0 	|| Tempo: 64 ms
Thread: 17 	|| Run: 1 	|| Tempo: 65 ms
Thread: 17 	|| Run: 2 	|| Tempo: 65 ms
Thread: 17 	|| Run: 3 	|| Tempo: 65 ms
Thread: 17 	|| Run: 4 	|| Tempo: 64 ms
Thread: 17 	|| Run: 5 	|| Tempo: 65 ms
Thread: 17 	|| Run: 6 	|| Tempo: 64 ms
Thread: 17 	|| Run: 7 	|| Tempo: 64 ms
Thread: 17 	|| Run: 8 	|| Tempo: 64 ms
Thread: 17 	|| Run: 9 	|| Tempo: 64 ms
Thread: 16 	|| Run: 0 	|| Tempo: 66 ms
Thread: 16 	|| Run: 1 	|| Tempo: 65 ms
Thread: 16 	|| Run: 2 	|| Tempo: 64 ms
Thread: 16 	|| Run: 3 	|| Tempo: 64 ms
Thread: 16 	|| Run: 4 	|| Tempo: 64 ms
Thread: 16 	|| Run: 5 	|| Tempo: 64 ms
Thread: 16 	|| Run: 6 	|| Tempo: 63 ms
