Thread: 20 	|| Run: 0 	|| Tempo: 854 ms
Thread: 20 	|| Run: 1 	|| Tempo: 855 ms
Thread: 20 	|| Run: 2 	|| Tempo: 858 ms
Thread: 20 	|| Run: 3 	|| Tempo: 859 ms
Thread: 20 	|| Run: 4 	|| Tempo: 861 ms
Thread: 20 	|| Run: 5 	|| Tempo: 865 ms
Thread: 20 	|| Run: 6 	|| Tempo: 866 ms
Thread: 20 	|| Run: 7 	|| Tempo: 867 ms
Thread: 20 	|| Run: 8 	|| Tempo: 869 ms
Thread: 20 	|| Run: 9 	|| Tempo: 871 ms
Thread: 19 	|| Run: 0 	|| Tempo: 897 ms
Thread: 19 	|| Run: 1 	|| Tempo: 895 ms
Thread: 19 	|| Run: 2 	|| Tempo: 898 ms
Thread: 19 	|| Run: 3 	|| Tempo: 980 ms
Thread: 19 	|| Run: 4 	|| Tempo: 903 ms
Thread: 19 	|| Run: 5 	|| Tempo: 904 ms
Thread: 19 	|| Run: 6 	|| Tempo: 903 ms
Thread: 19 	|| Run: 7 	|| Tempo: 906 ms
Thread: 19 	|| Run: 8 	|| Tempo: 907 ms
Thread: 19 	|| Run: 9 	|| Tempo: 906 ms
Thread: 18 	|| Run: 0 	|| Tempo: 933 ms
Thread: 18 	|| Run: 1 	|| Tempo: 943 ms
Thread: 18 	|| Run: 2 	|| Tempo: 932 ms
Thread: 18 	|| Run: 3 	|| Tempo: 934 ms
Thread: 18 	|| Run: 4 	|| Tempo: 1009 ms
Thread: 18 	|| Run: 5 	|| Tempo: 937 ms
Thread: 18 	|| Run: 6 	|| Tempo: 934 ms
Thread: 18 	|| Run: 7 	|| Tempo: 936 ms
Thread: 18 	|| Run: 8 	|| Tempo: 938 ms
Thread: 18 	|| Run: 9 	|| Tempo: 940 ms
Thread: 17 	|| Run: 0 	|| Tempo: 964 ms
Thread: 17 	|| Run: 1 	|| Tempo: 965 ms
Thread: 17 	|| Run: 2 	|| Tempo: 965 ms
Thread: 17 	|| Run: 3 	|| Tempo: 967 ms
Thread: 17 	|| Run: 4 	|| Tempo: 968 ms
Thread: 17 	|| Run: 5 	|| Tempo: 969 ms
Thread: 17 	|| Run: 6 	|| Tempo: 971 ms
Thread: 17 	|| Run: 7 	|| Tempo: 972 ms
Thread: 17 	|| Run: 8 	|| Tempo: 991 ms
Thread: 17 	|| Run: 9 	|| Tempo: 971 ms
Thread: 16 	|| Run: 0 	|| Tempo: 1002 ms
Thread: 16 	|| Run: 1 	|| Tempo: 1613 ms
Thread: 16 	|| Run: 2 	|| Tempo: 1007 ms
Thread: 16 	|| Run: 3 	|| Tempo: 1012 ms
Thread: 16 	|| Run: 4 	|| Tempo: 1010 ms
Thread: 16 	|| Run: 5 	|| Tempo: 1007 ms
Thread: 16 	|| Run: 6 	|| Tempo: 1091 ms
Thread: 16 	|| Run: 7 	|| Tempo: 1005 ms
Thread: 16 	|| Run: 8 	|| Tempo: 1009 ms
Thread: 16 	|| Run: 9 	|| Tempo: 1009 ms
Thread: 15 	|| Run: 0 	|| Tempo: 1025 ms
Thread: 15 	|| Run: 1 	|| Tempo: 1020 ms
Thread: 15 	|| Run: 2 	|| Tempo: 1044 ms
Thread: 15 	|| Run: 3 	|| Tempo: 1118 ms
Thread: 15 	|| Run: 4 	|| Tempo: 1022 ms
Thread: 15 	|| Run: 5 	|| Tempo: 1047 ms
Thread: 15 	|| Run: 6 	|| Tempo: 1021 ms
Thread: 15 	|| Run: 7 	|| Tempo: 1180 ms
Thread: 15 	|| Run: 8 	|| Tempo: 1027 ms
Thread: 15 	|| Run: 9 	|| Tempo: 1045 ms
Thread: 14 	|| Run: 0 	|| Tempo: 1066 ms
Thread: 14 	|| Run: 1 	|| Tempo: 1201 ms
Thread: 14 	|| Run: 2 	|| Tempo: 1059 ms
Thread: 14 	|| Run: 3 	|| Tempo: 1063 ms
Thread: 14 	|| Run: 4 	|| Tempo: 1062 ms
Thread: 14 	|| Run: 5 	|| Tempo: 1217 ms
Thread: 14 	|| Run: 6 	|| Tempo: 1062 ms
Thread: 14 	|| Run: 7 	|| Tempo: 1067 ms
Thread: 14 	|| Run: 8 	|| Tempo: 1062 ms
Thread: 14 	|| Run: 9 	|| Tempo: 1495 ms
Thread: 13 	|| Run: 0 	|| Tempo: 1110 ms
Thread: 13 	|| Run: 1 	|| Tempo: 1131 ms
Thread: 13 	|| Run: 2 	|| Tempo: 1131 ms
Thread: 13 	|| Run: 3 	|| Tempo: 1116 ms
Thread: 13 	|| Run: 4 	|| Tempo: 1273 ms
Thread: 13 	|| Run: 5 	|| Tempo: 1127 ms
Thread: 13 	|| Run: 6 	|| Tempo: 1113 ms
Thread: 13 	|| Run: 7 	|| Tempo: 1110 ms
Thread: 13 	|| Run: 8 	|| Tempo: 1943 ms
Thread: 13 	|| Run: 9 	|| Tempo: 1143 ms
Thread: 12 	|| Run: 0 	|| Tempo: 1191 ms
Thread: 12 	|| Run: 1 	|| Tempo: 1175 ms
Thread: 12 	|| Run: 2 	|| Tempo: 1189 ms
Thread: 12 	|| Run: 3 	|| Tempo: 1186 ms
Thread: 12 	|| Run: 4 	|| Tempo: 1174 ms
Thread: 12 	|| Run: 5 	|| Tempo: 1190 ms
Thread: 12 	|| Run: 6 	|| Tempo: 1160 ms
Thread: 12 	|| Run: 7 	|| Tempo: 1759 ms
Thread: 12 	|| Run: 8 	|| Tempo: 1191 ms
Thread: 12 	|| Run: 9 	|| Tempo: 1192 ms
Thread: 11 	|| Run: 0 	|| Tempo: 1230 ms
Thread: 11 	|| Run: 1 	|| Tempo: 1244 ms
Thread: 11 	|| Run: 2 	|| Tempo: 1241 ms
Thread: 11 	|| Run: 3 	|| Tempo: 1787 ms
Thread: 11 	|| Run: 4 	|| Tempo: 1228 ms
Thread: 11 	|| Run: 5 	|| Tempo: 1234 ms
Thread: 11 	|| Run: 6 	|| Tempo: 1229 ms
Thread: 11 	|| Run: 7 	|| Tempo: 1240 ms
Thread: 11 	|| Run: 8 	|| Tempo: 1240 ms
Thread: 11 	|| Run: 9 	|| Tempo: 1648 ms
Thread: 10 	|| Run: 0 	|| Tempo: 1350 ms
Thread: 10 	|| Run: 1 	|| Tempo: 1343 ms
Thread: 10 	|| Run: 2 	|| Tempo: 1338 ms
Thread: 10 	|| Run: 3 	|| Tempo: 1322 ms
Thread: 10 	|| Run: 4 	|| Tempo: 1330 ms
Thread: 10 	|| Run: 5 	|| Tempo: 2117 ms
Thread: 10 	|| Run: 6 	|| Tempo: 1447 ms
Thread: 10 	|| Run: 7 	|| Tempo: 1322 ms
Thread: 10 	|| Run: 8 	|| Tempo: 1345 ms
Thread: 10 	|| Run: 9 	|| Tempo: 1338 ms
Thread: 9 	|| Run: 0 	|| Tempo: 1437 ms
Thread: 9 	|| Run: 1 	|| Tempo: 1437 ms
Thread: 9 	|| Run: 2 	|| Tempo: 1434 ms
Thread: 9 	|| Run: 3 	|| Tempo: 1436 ms
Thread: 9 	|| Run: 4 	|| Tempo: 1431 ms
Thread: 9 	|| Run: 5 	|| Tempo: 1436 ms
Thread: 9 	|| Run: 6 	|| Tempo: 1436 ms
Thread: 9 	|| Run: 7 	|| Tempo: 1438 ms
Thread: 9 	|| Run: 8 	|| Tempo: 1447 ms
Thread: 9 	|| Run: 9 	|| Tempo: 1435 ms
Thread: 8 	|| Run: 0 	|| Tempo: 1574 ms
Thread: 8 	|| Run: 1 	|| Tempo: 1578 ms
Thread: 8 	|| Run: 2 	|| Tempo: 2197 ms
Thread: 8 	|| Run: 3 	|| Tempo: 1718 ms
Thread: 8 	|| Run: 4 	|| Tempo: 1576 ms
Thread: 8 	|| Run: 5 	|| Tempo: 1577 ms
Thread: 8 	|| Run: 6 	|| Tempo: 1572 ms
Thread: 8 	|| Run: 7 	|| Tempo: 1572 ms
Thread: 8 	|| Run: 8 	|| Tempo: 1572 ms
Thread: 8 	|| Run: 9 	|| Tempo: 1578 ms
Thread: 7 	|| Run: 0 	|| Tempo: 1713 ms
Thread: 7 	|| Run: 1 	|| Tempo: 1714 ms
Thread: 7 	|| Run: 2 	|| Tempo: 1716 ms
Thread: 7 	|| Run: 3 	|| Tempo: 1717 ms
Thread: 7 	|| Run: 4 	|| Tempo: 1722 ms
Thread: 7 	|| Run: 5 	|| Tempo: 1719 ms
Thread: 7 	|| Run: 6 	|| Tempo: 2317 ms
Thread: 7 	|| Run: 7 	|| Tempo: 2247 ms
Thread: 7 	|| Run: 8 	|| Tempo: 1791 ms
Thread: 7 	|| Run: 9 	|| Tempo: 1715 ms
Thread: 6 	|| Run: 0 	|| Tempo: 1889 ms
Thread: 6 	|| Run: 1 	|| Tempo: 1887 ms
Thread: 6 	|| Run: 2 	|| Tempo: 1891 ms
Thread: 6 	|| Run: 3 	|| Tempo: 1887 ms
Thread: 6 	|| Run: 4 	|| Tempo: 1896 ms
Thread: 6 	|| Run: 5 	|| Tempo: 1890 ms
Thread: 6 	|| Run: 6 	|| Tempo: 1889 ms
Thread: 6 	|| Run: 7 	|| Tempo: 1894 ms
Thread: 6 	|| Run: 8 	|| Tempo: 1890 ms
Thread: 6 	|| Run: 9 	|| Tempo: 1893 ms
Thread: 5 	|| Run: 0 	|| Tempo: 2259 ms
Thread: 5 	|| Run: 1 	|| Tempo: 2251 ms
Thread: 5 	|| Run: 2 	|| Tempo: 2248 ms
Thread: 5 	|| Run: 3 	|| Tempo: 2251 ms
Thread: 5 	|| Run: 4 	|| Tempo: 2254 ms
Thread: 5 	|| Run: 5 	|| Tempo: 2254 ms
Thread: 5 	|| Run: 6 	|| Tempo: 2252 ms
Thread: 5 	|| Run: 7 	|| Tempo: 2254 ms
Thread: 5 	|| Run: 8 	|| Tempo: 2230 ms
Thread: 5 	|| Run: 9 	|| Tempo: 2256 ms
Thread: 4 	|| Run: 0 	|| Tempo: 2736 ms
Thread: 4 	|| Run: 1 	|| Tempo: 2738 ms
Thread: 4 	|| Run: 2 	|| Tempo: 2682 ms
Thread: 4 	|| Run: 3 	|| Tempo: 2683 ms
Thread: 4 	|| Run: 4 	|| Tempo: 2720 ms
Thread: 4 	|| Run: 5 	|| Tempo: 2731 ms
Thread: 4 	|| Run: 6 	|| Tempo: 2744 ms
Thread: 4 	|| Run: 7 	|| Tempo: 2682 ms
Thread: 4 	|| Run: 8 	|| Tempo: 2783 ms
Thread: 4 	|| Run: 9 	|| Tempo: 2736 ms
Thread: 3 	|| Run: 0 	|| Tempo: 3583 ms
Thread: 3 	|| Run: 1 	|| Tempo: 3592 ms
Thread: 3 	|| Run: 2 	|| Tempo: 3575 ms
Thread: 3 	|| Run: 3 	|| Tempo: 3555 ms
Thread: 3 	|| Run: 4 	|| Tempo: 3582 ms
Thread: 3 	|| Run: 5 	|| Tempo: 3522 ms
Thread: 3 	|| Run: 6 	|| Tempo: 3541 ms
Thread: 3 	|| Run: 7 	|| Tempo: 3604 ms
Thread: 3 	|| Run: 8 	|| Tempo: 3520 ms
Thread: 3 	|| Run: 9 	|| Tempo: 3594 ms
Thread: 2 	|| Run: 0 	|| Tempo: 5260 ms
Thread: 2 	|| Run: 1 	|| Tempo: 5260 ms
Thread: 2 	|| Run: 2 	|| Tempo: 5254 ms
Thread: 2 	|| Run: 3 	|| Tempo: 5274 ms
Thread: 2 	|| Run: 4 	|| Tempo: 5257 ms
Thread: 2 	|| Run: 5 	|| Tempo: 5251 ms
Thread: 2 	|| Run: 6 	|| Tempo: 5250 ms
Thread: 2 	|| Run: 7 	|| Tempo: 5248 ms
Thread: 2 	|| Run: 8 	|| Tempo: 5249 ms
Thread: 2 	|| Run: 9 	|| Tempo: 5263 ms
Thread: 1 	|| Run: 0 	|| Tempo: 10457 ms
Thread: 1 	|| Run: 1 	|| Tempo: 9879 ms
Thread: 1 	|| Run: 2 	|| Tempo: 10093 ms
Thread: 1 	|| Run: 3 	|| Tempo: 10049 ms
Thread: 1 	|| Run: 4 	|| Tempo: 10416 ms
Thread: 1 	|| Run: 5 	|| Tempo: 9859 ms
Thread: 1 	|| Run: 6 	|| Tempo: 9746 ms
Thread: 1 	|| Run: 7 	|| Tempo: 9737 ms
Thread: 1 	|| Run: 8 	|| Tempo: 9741 ms
Thread: 1 	|| Run: 9 	|| Tempo: 9732 ms
Thread: 20 	|| Run: 0 	|| Tempo: 917 ms
Thread: 20 	|| Run: 1 	|| Tempo: 916 ms
Thread: 20 	|| Run: 2 	|| Tempo: 922 ms
Thread: 20 	|| Run: 3 	|| Tempo: 922 ms
Thread: 20 	|| Run: 4 	|| Tempo: 921 ms
Thread: 20 	|| Run: 5 	|| Tempo: 923 ms
Thread: 20 	|| Run: 6 	|| Tempo: 923 ms
Thread: 20 	|| Run: 7 	|| Tempo: 926 ms
