Thread: 20 	|| Run: 0 	|| Tempo: 25287 ms
Thread: 20 	|| Run: 1 	|| Tempo: 25062 ms
Thread: 20 	|| Run: 2 	|| Tempo: 26080 ms
Thread: 20 	|| Run: 3 	|| Tempo: 25937 ms
Thread: 20 	|| Run: 4 	|| Tempo: 25836 ms
Thread: 20 	|| Run: 5 	|| Tempo: 25798 ms
Thread: 20 	|| Run: 6 	|| Tempo: 25594 ms
Thread: 20 	|| Run: 7 	|| Tempo: 25456 ms
Thread: 20 	|| Run: 8 	|| Tempo: 25398 ms
Thread: 20 	|| Run: 9 	|| Tempo: 25901 ms
Thread: 19 	|| Run: 0 	|| Tempo: 26538 ms
Thread: 19 	|| Run: 1 	|| Tempo: 26580 ms
Thread: 19 	|| Run: 2 	|| Tempo: 26690 ms
Thread: 19 	|| Run: 3 	|| Tempo: 26697 ms
Thread: 19 	|| Run: 4 	|| Tempo: 26719 ms
Thread: 19 	|| Run: 5 	|| Tempo: 26055 ms
Thread: 19 	|| Run: 6 	|| Tempo: 26700 ms
Thread: 19 	|| Run: 7 	|| Tempo: 26064 ms
Thread: 19 	|| Run: 8 	|| Tempo: 26706 ms
Thread: 19 	|| Run: 9 	|| Tempo: 26086 ms
Thread: 18 	|| Run: 0 	|| Tempo: 27412 ms
Thread: 18 	|| Run: 1 	|| Tempo: 26905 ms
Thread: 18 	|| Run: 2 	|| Tempo: 26965 ms
Thread: 18 	|| Run: 3 	|| Tempo: 27292 ms
Thread: 18 	|| Run: 4 	|| Tempo: 27340 ms
Thread: 18 	|| Run: 5 	|| Tempo: 27420 ms
Thread: 18 	|| Run: 6 	|| Tempo: 26882 ms
Thread: 18 	|| Run: 7 	|| Tempo: 26972 ms
Thread: 18 	|| Run: 8 	|| Tempo: 27165 ms
Thread: 18 	|| Run: 9 	|| Tempo: 27247 ms
Thread: 17 	|| Run: 0 	|| Tempo: 28243 ms
Thread: 17 	|| Run: 1 	|| Tempo: 28031 ms
Thread: 17 	|| Run: 2 	|| Tempo: 28148 ms
Thread: 17 	|| Run: 3 	|| Tempo: 27847 ms
Thread: 17 	|| Run: 4 	|| Tempo: 28006 ms
Thread: 17 	|| Run: 5 	|| Tempo: 28309 ms
Thread: 17 	|| Run: 6 	|| Tempo: 27942 ms
Thread: 17 	|| Run: 7 	|| Tempo: 28226 ms
Thread: 17 	|| Run: 8 	|| Tempo: 27831 ms
Thread: 17 	|| Run: 9 	|| Tempo: 28127 ms
Thread: 16 	|| Run: 0 	|| Tempo: 28995 ms
Thread: 16 	|| Run: 1 	|| Tempo: 28763 ms
Thread: 16 	|| Run: 2 	|| Tempo: 28965 ms
Thread: 16 	|| Run: 3 	|| Tempo: 28771 ms
Thread: 16 	|| Run: 4 	|| Tempo: 28963 ms
Thread: 16 	|| Run: 5 	|| Tempo: 28734 ms
Thread: 16 	|| Run: 6 	|| Tempo: 28974 ms
Thread: 16 	|| Run: 7 	|| Tempo: 28763 ms
Thread: 16 	|| Run: 8 	|| Tempo: 29121 ms
Thread: 16 	|| Run: 9 	|| Tempo: 28793 ms
Thread: 15 	|| Run: 0 	|| Tempo: 29810 ms
Thread: 15 	|| Run: 1 	|| Tempo: 29517 ms
Thread: 15 	|| Run: 2 	|| Tempo: 29354 ms
Thread: 15 	|| Run: 3 	|| Tempo: 29168 ms
Thread: 15 	|| Run: 4 	|| Tempo: 29702 ms
Thread: 15 	|| Run: 5 	|| Tempo: 29568 ms
Thread: 15 	|| Run: 6 	|| Tempo: 29430 ms
Thread: 15 	|| Run: 7 	|| Tempo: 29299 ms
Thread: 15 	|| Run: 8 	|| Tempo: 29922 ms
Thread: 15 	|| Run: 9 	|| Tempo: 29728 ms
Thread: 14 	|| Run: 0 	|| Tempo: 30424 ms
Thread: 14 	|| Run: 1 	|| Tempo: 30435 ms
Thread: 14 	|| Run: 2 	|| Tempo: 30453 ms
Thread: 14 	|| Run: 3 	|| Tempo: 30465 ms
Thread: 14 	|| Run: 4 	|| Tempo: 30464 ms
Thread: 14 	|| Run: 5 	|| Tempo: 30486 ms
Thread: 14 	|| Run: 6 	|| Tempo: 30483 ms
Thread: 14 	|| Run: 7 	|| Tempo: 30519 ms
Thread: 14 	|| Run: 8 	|| Tempo: 30684 ms
Thread: 14 	|| Run: 9 	|| Tempo: 30629 ms
Thread: 13 	|| Run: 0 	|| Tempo: 32123 ms
Thread: 13 	|| Run: 1 	|| Tempo: 31636 ms
Thread: 13 	|| Run: 2 	|| Tempo: 31924 ms
Thread: 13 	|| Run: 3 	|| Tempo: 31158 ms
Thread: 13 	|| Run: 4 	|| Tempo: 31769 ms
Thread: 13 	|| Run: 5 	|| Tempo: 32238 ms
Thread: 13 	|| Run: 6 	|| Tempo: 31635 ms
Thread: 13 	|| Run: 7 	|| Tempo: 31934 ms
Thread: 13 	|| Run: 8 	|| Tempo: 32272 ms
Thread: 13 	|| Run: 9 	|| Tempo: 31769 ms
Thread: 12 	|| Run: 0 	|| Tempo: 33825 ms
Thread: 12 	|| Run: 1 	|| Tempo: 33706 ms
Thread: 12 	|| Run: 2 	|| Tempo: 33576 ms
Thread: 12 	|| Run: 3 	|| Tempo: 33415 ms
Thread: 12 	|| Run: 4 	|| Tempo: 32917 ms
Thread: 12 	|| Run: 5 	|| Tempo: 34063 ms
Thread: 12 	|| Run: 6 	|| Tempo: 33859 ms
Thread: 12 	|| Run: 7 	|| Tempo: 33793 ms
Thread: 12 	|| Run: 8 	|| Tempo: 33658 ms
Thread: 12 	|| Run: 9 	|| Tempo: 33540 ms
Thread: 11 	|| Run: 0 	|| Tempo: 34973 ms
Thread: 11 	|| Run: 1 	|| Tempo: 35110 ms
Thread: 11 	|| Run: 2 	|| Tempo: 35244 ms
Thread: 11 	|| Run: 3 	|| Tempo: 35415 ms
Thread: 11 	|| Run: 4 	|| Tempo: 34592 ms
Thread: 11 	|| Run: 5 	|| Tempo: 35096 ms
Thread: 11 	|| Run: 6 	|| Tempo: 35217 ms
Thread: 11 	|| Run: 7 	|| Tempo: 35392 ms
Thread: 11 	|| Run: 8 	|| Tempo: 34600 ms
Thread: 11 	|| Run: 9 	|| Tempo: 35184 ms
Thread: 10 	|| Run: 0 	|| Tempo: 37430 ms
Thread: 10 	|| Run: 1 	|| Tempo: 37240 ms
Thread: 10 	|| Run: 2 	|| Tempo: 37609 ms
Thread: 10 	|| Run: 3 	|| Tempo: 37479 ms
Thread: 10 	|| Run: 4 	|| Tempo: 37266 ms
Thread: 10 	|| Run: 5 	|| Tempo: 36814 ms
Thread: 10 	|| Run: 6 	|| Tempo: 37889 ms
Thread: 10 	|| Run: 7 	|| Tempo: 37667 ms
Thread: 10 	|| Run: 8 	|| Tempo: 37505 ms
Thread: 10 	|| Run: 9 	|| Tempo: 37379 ms
Thread: 9 	|| Run: 0 	|| Tempo: 39461 ms
Thread: 9 	|| Run: 1 	|| Tempo: 39614 ms
Thread: 9 	|| Run: 2 	|| Tempo: 39835 ms
Thread: 9 	|| Run: 3 	|| Tempo: 39350 ms
Thread: 9 	|| Run: 4 	|| Tempo: 39568 ms
Thread: 9 	|| Run: 5 	|| Tempo: 39805 ms
Thread: 9 	|| Run: 6 	|| Tempo: 39870 ms
Thread: 9 	|| Run: 7 	|| Tempo: 39437 ms
Thread: 9 	|| Run: 8 	|| Tempo: 39570 ms
Thread: 9 	|| Run: 9 	|| Tempo: 39847 ms
Thread: 8 	|| Run: 0 	|| Tempo: 42296 ms
Thread: 8 	|| Run: 1 	|| Tempo: 42312 ms
Thread: 8 	|| Run: 2 	|| Tempo: 42283 ms
Thread: 8 	|| Run: 3 	|| Tempo: 42933 ms
Thread: 8 	|| Run: 4 	|| Tempo: 42343 ms
Thread: 8 	|| Run: 5 	|| Tempo: 42332 ms
Thread: 8 	|| Run: 6 	|| Tempo: 42349 ms
Thread: 8 	|| Run: 7 	|| Tempo: 42327 ms
Thread: 8 	|| Run: 8 	|| Tempo: 42359 ms
Thread: 8 	|| Run: 9 	|| Tempo: 42367 ms
Thread: 7 	|| Run: 0 	|| Tempo: 45814 ms
Thread: 7 	|| Run: 1 	|| Tempo: 46158 ms
Thread: 7 	|| Run: 2 	|| Tempo: 46075 ms
Thread: 7 	|| Run: 3 	|| Tempo: 46289 ms
Thread: 7 	|| Run: 4 	|| Tempo: 46225 ms
Thread: 7 	|| Run: 5 	|| Tempo: 46252 ms
Thread: 7 	|| Run: 6 	|| Tempo: 46118 ms
Thread: 7 	|| Run: 7 	|| Tempo: 46081 ms
Thread: 7 	|| Run: 8 	|| Tempo: 45951 ms
Thread: 7 	|| Run: 9 	|| Tempo: 45994 ms
Thread: 6 	|| Run: 0 	|| Tempo: 49151 ms
Thread: 6 	|| Run: 1 	|| Tempo: 49074 ms
Thread: 6 	|| Run: 2 	|| Tempo: 49753 ms
Thread: 6 	|| Run: 3 	|| Tempo: 49206 ms
Thread: 6 	|| Run: 4 	|| Tempo: 49156 ms
Thread: 6 	|| Run: 5 	|| Tempo: 49219 ms
Thread: 6 	|| Run: 6 	|| Tempo: 49192 ms
Thread: 6 	|| Run: 7 	|| Tempo: 49635 ms
Thread: 6 	|| Run: 8 	|| Tempo: 49838 ms
Thread: 6 	|| Run: 9 	|| Tempo: 49231 ms
Thread: 5 	|| Run: 0 	|| Tempo: 55591 ms
Thread: 5 	|| Run: 1 	|| Tempo: 55583 ms
Thread: 5 	|| Run: 2 	|| Tempo: 56146 ms
Thread: 5 	|| Run: 3 	|| Tempo: 55487 ms
Thread: 5 	|| Run: 4 	|| Tempo: 55655 ms
Thread: 5 	|| Run: 5 	|| Tempo: 55565 ms
Thread: 5 	|| Run: 6 	|| Tempo: 55516 ms
Thread: 5 	|| Run: 7 	|| Tempo: 55662 ms
Thread: 5 	|| Run: 8 	|| Tempo: 55551 ms
Thread: 5 	|| Run: 9 	|| Tempo: 55775 ms
Thread: 4 	|| Run: 0 	|| Tempo: 66718 ms
Thread: 4 	|| Run: 1 	|| Tempo: 67144 ms
Thread: 4 	|| Run: 2 	|| Tempo: 66658 ms
Thread: 4 	|| Run: 3 	|| Tempo: 66590 ms
Thread: 4 	|| Run: 4 	|| Tempo: 67109 ms
Thread: 4 	|| Run: 5 	|| Tempo: 66946 ms
Thread: 4 	|| Run: 6 	|| Tempo: 67004 ms
Thread: 4 	|| Run: 7 	|| Tempo: 66898 ms
Thread: 4 	|| Run: 8 	|| Tempo: 66299 ms
Thread: 4 	|| Run: 9 	|| Tempo: 66653 ms
Thread: 3 	|| Run: 0 	|| Tempo: 87204 ms
Thread: 3 	|| Run: 1 	|| Tempo: 86692 ms
Thread: 3 	|| Run: 2 	|| Tempo: 86922 ms
Thread: 3 	|| Run: 3 	|| Tempo: 86798 ms
Thread: 3 	|| Run: 4 	|| Tempo: 86852 ms
Thread: 3 	|| Run: 5 	|| Tempo: 86860 ms
Thread: 3 	|| Run: 6 	|| Tempo: 86185 ms
Thread: 3 	|| Run: 7 	|| Tempo: 87167 ms
Thread: 3 	|| Run: 8 	|| Tempo: 86710 ms
Thread: 3 	|| Run: 9 	|| Tempo: 86951 ms
Thread: 2 	|| Run: 0 	|| Tempo: 124106 ms
Thread: 2 	|| Run: 1 	|| Tempo: 124710 ms
Thread: 2 	|| Run: 2 	|| Tempo: 124514 ms
Thread: 2 	|| Run: 3 	|| Tempo: 124870 ms
Thread: 2 	|| Run: 4 	|| Tempo: 125278 ms
Thread: 2 	|| Run: 5 	|| Tempo: 124394 ms
Thread: 2 	|| Run: 6 	|| Tempo: 124419 ms
Thread: 2 	|| Run: 7 	|| Tempo: 124574 ms
Thread: 2 	|| Run: 8 	|| Tempo: 124726 ms
Thread: 2 	|| Run: 9 	|| Tempo: 124659 ms
Thread: 1 	|| Run: 0 	|| Tempo: 238976 ms
Thread: 1 	|| Run: 1 	|| Tempo: 238990 ms
Thread: 1 	|| Run: 2 	|| Tempo: 239548 ms
Thread: 1 	|| Run: 3 	|| Tempo: 239037 ms
Thread: 1 	|| Run: 4 	|| Tempo: 239012 ms
Thread: 1 	|| Run: 5 	|| Tempo: 239009 ms
Thread: 1 	|| Run: 6 	|| Tempo: 239030 ms
Thread: 1 	|| Run: 7 	|| Tempo: 239020 ms
Thread: 1 	|| Run: 8 	|| Tempo: 239010 ms
Thread: 1 	|| Run: 9 	|| Tempo: 239354 ms
Thread: 20 	|| Run: 0 	|| Tempo: 25387 ms
Thread: 20 	|| Run: 1 	|| Tempo: 24760 ms
Thread: 20 	|| Run: 2 	|| Tempo: 25833 ms
Thread: 20 	|| Run: 3 	|| Tempo: 25705 ms
Thread: 20 	|| Run: 4 	|| Tempo: 25553 ms
Thread: 20 	|| Run: 5 	|| Tempo: 25367 ms
Thread: 20 	|| Run: 6 	|| Tempo: 25224 ms
Thread: 20 	|| Run: 7 	|| Tempo: 25823 ms
Thread: 20 	|| Run: 8 	|| Tempo: 25828 ms
Thread: 20 	|| Run: 9 	|| Tempo: 25588 ms
Thread: 19 	|| Run: 0 	|| Tempo: 26265 ms
Thread: 19 	|| Run: 1 	|| Tempo: 26198 ms
Thread: 19 	|| Run: 2 	|| Tempo: 26226 ms
Thread: 19 	|| Run: 3 	|| Tempo: 26153 ms
Thread: 19 	|| Run: 4 	|| Tempo: 26119 ms
Thread: 19 	|| Run: 5 	|| Tempo: 26069 ms
Thread: 19 	|| Run: 6 	|| Tempo: 26613 ms
Thread: 19 	|| Run: 7 	|| Tempo: 26612 ms
Thread: 19 	|| Run: 8 	|| Tempo: 26661 ms
Thread: 19 	|| Run: 9 	|| Tempo: 26532 ms
Thread: 18 	|| Run: 0 	|| Tempo: 27356 ms
Thread: 18 	|| Run: 1 	|| Tempo: 27359 ms
Thread: 18 	|| Run: 2 	|| Tempo: 27287 ms
Thread: 18 	|| Run: 3 	|| Tempo: 27309 ms
Thread: 18 	|| Run: 4 	|| Tempo: 27331 ms
Thread: 18 	|| Run: 5 	|| Tempo: 27319 ms
Thread: 18 	|| Run: 6 	|| Tempo: 27330 ms
Thread: 18 	|| Run: 7 	|| Tempo: 27311 ms
Thread: 18 	|| Run: 8 	|| Tempo: 27400 ms
Thread: 18 	|| Run: 9 	|| Tempo: 26948 ms
Thread: 17 	|| Run: 0 	|| Tempo: 27905 ms
Thread: 17 	|| Run: 1 	|| Tempo: 28154 ms
Thread: 17 	|| Run: 2 	|| Tempo: 27880 ms
Thread: 17 	|| Run: 3 	|| Tempo: 28009 ms
Thread: 17 	|| Run: 4 	|| Tempo: 28076 ms
Thread: 17 	|| Run: 5 	|| Tempo: 27793 ms
Thread: 17 	|| Run: 6 	|| Tempo: 27885 ms
Thread: 17 	|| Run: 7 	|| Tempo: 28221 ms
Thread: 17 	|| Run: 8 	|| Tempo: 27807 ms
Thread: 17 	|| Run: 9 	|| Tempo: 28331 ms
Thread: 16 	|| Run: 0 	|| Tempo: 28338 ms
Thread: 16 	|| Run: 1 	|| Tempo: 28791 ms
Thread: 16 	|| Run: 2 	|| Tempo: 28738 ms
Thread: 16 	|| Run: 3 	|| Tempo: 28937 ms
Thread: 16 	|| Run: 4 	|| Tempo: 28636 ms
Thread: 16 	|| Run: 5 	|| Tempo: 28377 ms
Thread: 16 	|| Run: 6 	|| Tempo: 28734 ms
Thread: 16 	|| Run: 7 	|| Tempo: 28392 ms
Thread: 16 	|| Run: 8 	|| Tempo: 28785 ms
Thread: 16 	|| Run: 9 	|| Tempo: 28481 ms
Thread: 15 	|| Run: 0 	|| Tempo: 29605 ms
Thread: 15 	|| Run: 1 	|| Tempo: 29533 ms
Thread: 15 	|| Run: 2 	|| Tempo: 29416 ms
Thread: 15 	|| Run: 3 	|| Tempo: 29112 ms
Thread: 15 	|| Run: 4 	|| Tempo: 29590 ms
Thread: 15 	|| Run: 5 	|| Tempo: 29402 ms
Thread: 15 	|| Run: 6 	|| Tempo: 29305 ms
Thread: 15 	|| Run: 7 	|| Tempo: 29117 ms
Thread: 15 	|| Run: 8 	|| Tempo: 29587 ms
Thread: 15 	|| Run: 9 	|| Tempo: 29353 ms
Thread: 14 	|| Run: 0 	|| Tempo: 30171 ms
Thread: 14 	|| Run: 1 	|| Tempo: 30158 ms
Thread: 14 	|| Run: 2 	|| Tempo: 30122 ms
Thread: 14 	|| Run: 3 	|| Tempo: 30047 ms
Thread: 14 	|| Run: 4 	|| Tempo: 29983 ms
Thread: 14 	|| Run: 5 	|| Tempo: 29553 ms
Thread: 14 	|| Run: 6 	|| Tempo: 29998 ms
Thread: 14 	|| Run: 7 	|| Tempo: 29603 ms
Thread: 14 	|| Run: 8 	|| Tempo: 29575 ms
Thread: 14 	|| Run: 9 	|| Tempo: 29957 ms
Thread: 13 	|| Run: 0 	|| Tempo: 31038 ms
Thread: 13 	|| Run: 1 	|| Tempo: 31750 ms
Thread: 13 	|| Run: 2 	|| Tempo: 32016 ms
Thread: 13 	|| Run: 3 	|| Tempo: 31749 ms
Thread: 13 	|| Run: 4 	|| Tempo: 31805 ms
Thread: 13 	|| Run: 5 	|| Tempo: 32050 ms
Thread: 13 	|| Run: 6 	|| Tempo: 31701 ms
Thread: 13 	|| Run: 7 	|| Tempo: 31893 ms
Thread: 13 	|| Run: 8 	|| Tempo: 31059 ms
Thread: 13 	|| Run: 9 	|| Tempo: 31898 ms
Thread: 12 	|| Run: 0 	|| Tempo: 33745 ms
Thread: 12 	|| Run: 1 	|| Tempo: 33744 ms
Thread: 12 	|| Run: 2 	|| Tempo: 33583 ms
Thread: 12 	|| Run: 3 	|| Tempo: 33329 ms
Thread: 12 	|| Run: 4 	|| Tempo: 33074 ms
Thread: 12 	|| Run: 5 	|| Tempo: 33801 ms
Thread: 12 	|| Run: 6 	|| Tempo: 33438 ms
Thread: 12 	|| Run: 7 	|| Tempo: 33504 ms
Thread: 12 	|| Run: 8 	|| Tempo: 32836 ms
Thread: 12 	|| Run: 9 	|| Tempo: 32779 ms
Thread: 11 	|| Run: 0 	|| Tempo: 35544 ms
Thread: 11 	|| Run: 1 	|| Tempo: 34870 ms
Thread: 11 	|| Run: 2 	|| Tempo: 34932 ms
Thread: 11 	|| Run: 3 	|| Tempo: 35059 ms
Thread: 11 	|| Run: 4 	|| Tempo: 35181 ms
Thread: 11 	|| Run: 5 	|| Tempo: 35512 ms
Thread: 11 	|| Run: 6 	|| Tempo: 34819 ms
Thread: 11 	|| Run: 7 	|| Tempo: 34888 ms
Thread: 11 	|| Run: 8 	|| Tempo: 34825 ms
Thread: 11 	|| Run: 9 	|| Tempo: 34889 ms
Thread: 10 	|| Run: 0 	|| Tempo: 37184 ms
Thread: 10 	|| Run: 1 	|| Tempo: 36985 ms
Thread: 10 	|| Run: 2 	|| Tempo: 37506 ms
Thread: 10 	|| Run: 3 	|| Tempo: 37343 ms
Thread: 10 	|| Run: 4 	|| Tempo: 37118 ms
Thread: 10 	|| Run: 5 	|| Tempo: 37633 ms
Thread: 10 	|| Run: 6 	|| Tempo: 37517 ms
Thread: 10 	|| Run: 7 	|| Tempo: 37355 ms
Thread: 10 	|| Run: 8 	|| Tempo: 37116 ms
Thread: 10 	|| Run: 9 	|| Tempo: 37488 ms
Thread: 9 	|| Run: 0 	|| Tempo: 39468 ms
Thread: 9 	|| Run: 1 	|| Tempo: 39677 ms
Thread: 9 	|| Run: 2 	|| Tempo: 39273 ms
Thread: 9 	|| Run: 3 	|| Tempo: 39412 ms
Thread: 9 	|| Run: 4 	|| Tempo: 39566 ms
Thread: 9 	|| Run: 5 	|| Tempo: 39787 ms
Thread: 9 	|| Run: 6 	|| Tempo: 39354 ms
Thread: 9 	|| Run: 7 	|| Tempo: 39507 ms
Thread: 9 	|| Run: 8 	|| Tempo: 39752 ms
Thread: 9 	|| Run: 9 	|| Tempo: 39238 ms
Thread: 8 	|| Run: 0 	|| Tempo: 42334 ms
Thread: 8 	|| Run: 1 	|| Tempo: 42198 ms
Thread: 8 	|| Run: 2 	|| Tempo: 42304 ms
Thread: 8 	|| Run: 3 	|| Tempo: 42300 ms
Thread: 8 	|| Run: 4 	|| Tempo: 42240 ms
Thread: 8 	|| Run: 5 	|| Tempo: 42333 ms
Thread: 8 	|| Run: 6 	|| Tempo: 42253 ms
Thread: 8 	|| Run: 7 	|| Tempo: 42276 ms
Thread: 8 	|| Run: 8 	|| Tempo: 42210 ms
Thread: 8 	|| Run: 9 	|| Tempo: 42338 ms
Thread: 7 	|| Run: 0 	|| Tempo: 45664 ms
Thread: 7 	|| Run: 1 	|| Tempo: 46003 ms
Thread: 7 	|| Run: 2 	|| Tempo: 45864 ms
