image,threads,kernel,bucket,run,time_ms,error
img1,1,5,256,1,250820,-1
img1,1,5,256,2,249231,-1
img1,1,5,256,3,249044,-1
img1,1,5,256,4,249171,-1
img1,1,5,256,5,249169,-1
img1,1,5,256,6,248978,-1
img1,1,5,256,7,251587,-1
img1,1,5,256,8,251423,-1
img1,1,5,256,9,251462,-1
img1,1,5,256,10,250553,-1
img1,2,5,256,1,133175,-1
img1,2,5,256,2,134354,-1
img1,2,5,256,3,133607,-1
img1,2,5,256,4,133617,-1
img1,2,5,256,5,134080,-1
img1,2,5,256,6,134128,-1
img1,2,5,256,7,134073,-1
img1,2,5,256,8,134316,-1
img1,2,5,256,9,134566,-1
img1,2,5,256,10,134451,-1
img1,3,5,256,1,90985,-1
img1,3,5,256,2,90981,-1
img1,3,5,256,3,90952,-1
img1,3,5,256,4,91052,-1
img1,3,5,256,5,90963,-1
img1,3,5,256,6,90941,-1
img1,3,5,256,7,90993,-1
img1,3,5,256,8,90996,-1
img1,3,5,256,9,90179,-1
img1,3,5,256,10,90762,-1
img1,4,5,256,1,69160,-1
img1,4,5,256,2,69132,-1
img1,4,5,256,3,69444,-1
img1,4,5,256,4,70363,-1
img1,4,5,256,5,69932,-1
img1,4,5,256,6,69520,-1
img1,4,5,256,7,69496,-1
img1,4,5,256,8,68978,-1
img1,4,5,256,9,69689,-1
img1,4,5,256,10,69138,-1
img1,5,5,256,1,58476,-1
img1,5,5,256,2,58541,-1
img1,5,5,256,3,58420,-1
img1,5,5,256,4,58731,-1
img1,5,5,256,5,57985,-1
img1,5,5,256,6,58669,-1
img1,5,5,256,7,58509,-1
img1,5,5,256,8,58538,-1
img1,5,5,256,9,57701,-1
img1,5,5,256,10,58601,-1
img1,6,5,256,1,52083,-1
img1,6,5,256,2,52044,-1
img1,6,5,256,3,50781,-1
img1,6,5,256,4,52078,-1
img1,6,5,256,5,50326,-1
img1,6,5,256,6,52025,-1
img1,6,5,256,7,52078,-1
img1,6,5,256,8,52214,-1
img1,6,5,256,9,51263,-1
img1,6,5,256,10,52126,-1
img1,7,5,256,1,46615,-1
img1,7,5,256,2,47487,-1
img1,7,5,256,3,47419,-1
img1,7,5,256,4,46647,-1
img1,7,5,256,5,46637,-1
img1,7,5,256,6,46629,-1
img1,7,5,256,7,46608,-1
img1,7,5,256,8,46661,-1
img1,7,5,256,9,46617,-1
img1,7,5,256,10,46753,-1
img1,8,5,256,1,44141,-1
img1,8,5,256,2,44024,-1
img1,8,5,256,3,43278,-1
img1,8,5,256,4,43877,-1
img1,8,5,256,5,43991,-1
img1,8,5,256,6,44210,-1
img1,8,5,256,7,43914,-1
img1,8,5,256,8,44178,-1
img1,8,5,256,9,43937,-1
img1,8,5,256,10,44048,-1
img1,9,5,256,1,40633,-1
img1,9,5,256,2,40606,-1
img1,9,5,256,3,40620,-1
img1,9,5,256,4,40639,-1
img1,9,5,256,5,40717,-1
img1,9,5,256,6,40492,-1
img1,9,5,256,7,40772,-1
img1,9,5,256,8,39680,-1
img1,9,5,256,9,40660,-1
img1,9,5,256,10,40925,-1
img1,10,5,256,1,38608,-1
img1,10,5,256,2,38660,-1
img1,10,5,256,3,37523,-1
img1,10,5,256,4,37400,-1
img1,10,5,256,5,38442,-1
img1,10,5,256,6,37275,-1
img1,10,5,256,7,37464,-1
img1,10,5,256,8,38330,-1
img1,10,5,256,9,38515,-1
img1,10,5,256,10,38298,-1
img1,11,5,256,1,34969,-1
img1,11,5,256,2,34836,-1
img1,11,5,256,3,34770,-1
img1,11,5,256,4,35071,-1
img1,11,5,256,5,36079,-1
img1,11,5,256,6,35737,-1
img1,11,5,256,7,35759,-1
img1,11,5,256,8,36205,-1
img1,11,5,256,9,36141,-1
img1,11,5,256,10,35704,-1
img1,12,5,256,1,32973,-1
img1,12,5,256,2,33931,-1
img1,12,5,256,3,32990,-1
img1,12,5,256,4,34112,-1
img1,12,5,256,5,35121,-1
img1,12,5,256,6,35307,-1
img1,12,5,256,7,35278,-1
