Thread: 20 	|| Run: 0 	|| Tempo: 850 ms
Thread: 20 	|| Run: 1 	|| Tempo: 862 ms
Thread: 20 	|| Run: 2 	|| Tempo: 852 ms
Thread: 20 	|| Run: 3 	|| Tempo: 854 ms
Thread: 20 	|| Run: 4 	|| Tempo: 888 ms
Thread: 20 	|| Run: 5 	|| Tempo: 856 ms
Thread: 20 	|| Run: 6 	|| Tempo: 858 ms
Thread: 20 	|| Run: 7 	|| Tempo: 925 ms
Thread: 20 	|| Run: 8 	|| Tempo: 860 ms
Thread: 20 	|| Run: 9 	|| Tempo: 862 ms
Thread: 19 	|| Run: 0 	|| Tempo: 1025 ms
Thread: 19 	|| Run: 1 	|| Tempo: 888 ms
Thread: 19 	|| Run: 2 	|| Tempo: 890 ms
Thread: 19 	|| Run: 3 	|| Tempo: 891 ms
Thread: 19 	|| Run: 4 	|| Tempo: 891 ms
Thread: 19 	|| Run: 5 	|| Tempo: 892 ms
Thread: 19 	|| Run: 6 	|| Tempo: 894 ms
Thread: 19 	|| Run: 7 	|| Tempo: 898 ms
Thread: 19 	|| Run: 8 	|| Tempo: 896 ms
Thread: 19 	|| Run: 9 	|| Tempo: 899 ms
Thread: 18 	|| Run: 0 	|| Tempo: 923 ms
Thread: 18 	|| Run: 1 	|| Tempo: 921 ms
Thread: 18 	|| Run: 2 	|| Tempo: 926 ms
Thread: 18 	|| Run: 3 	|| Tempo: 966 ms
Thread: 18 	|| Run: 4 	|| Tempo: 927 ms
Thread: 18 	|| Run: 5 	|| Tempo: 928 ms
Thread: 18 	|| Run: 6 	|| Tempo: 930 ms
Thread: 18 	|| Run: 7 	|| Tempo: 932 ms
Thread: 18 	|| Run: 8 	|| Tempo: 932 ms
Thread: 18 	|| Run: 9 	|| Tempo: 933 ms
Thread: 17 	|| Run: 0 	|| Tempo: 956 ms
Thread: 17 	|| Run: 1 	|| Tempo: 957 ms
Thread: 17 	|| Run: 2 	|| Tempo: 961 ms
Thread: 17 	|| Run: 3 	|| Tempo: 1045 ms
Thread: 17 	|| Run: 4 	|| Tempo: 963 ms
Thread: 17 	|| Run: 5 	|| Tempo: 962 ms
Thread: 17 	|| Run: 6 	|| Tempo: 961 ms
Thread: 17 	|| Run: 7 	|| Tempo: 972 ms
Thread: 17 	|| Run: 8 	|| Tempo: 966 ms
Thread: 17 	|| Run: 9 	|| Tempo: 963 ms
Thread: 16 	|| Run: 0 	|| Tempo: 1078 ms
Thread: 16 	|| Run: 1 	|| Tempo: 993 ms
Thread: 16 	|| Run: 2 	|| Tempo: 995 ms
Thread: 16 	|| Run: 3 	|| Tempo: 992 ms
Thread: 16 	|| Run: 4 	|| Tempo: 1055 ms
Thread: 16 	|| Run: 5 	|| Tempo: 992 ms
Thread: 16 	|| Run: 6 	|| Tempo: 992 ms
Thread: 16 	|| Run: 7 	|| Tempo: 991 ms
Thread: 16 	|| Run: 8 	|| Tempo: 993 ms
Thread: 16 	|| Run: 9 	|| Tempo: 995 ms
Thread: 15 	|| Run: 0 	|| Tempo: 1010 ms
Thread: 15 	|| Run: 1 	|| Tempo: 1088 ms
